,m0,m1,m2,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
0,0.11499999999999999,0.1,0.1,0.7136130069095313,0,0.0,-0.11310946459550464,0.15835325043370632,0.0,0.2714627150292109,0,0.0,0,0.8926632899995554,0.06999533916395934,0.00183729479211121,0.1900239005204476,1.3900239005204476,1.2
1,0.1265,0.11,0.11,0.7230090072015783,0,5.551115123125783e-17,-0.1244202422826518,0.17418833919571264,0.0,0.2986085814783645,0,0.0,0,0.8969914718503252,0.0665105926286826,0.001762329331278145,0.2090260070348552,1.409026007034855,1.1999999999999997
2,0.138,0.12000000000000001,0.12000000000000001,0.7326556994959967,0,0.0,-0.13573099175610348,0.19002338845854472,0.0,0.3257543802146481,0,0.0,0,0.9011603233866932,0.06316747135813262,0.0016899571272744342,0.22802806615025364,1.4280280661502536,1.2
3,0.1495,0.13,0.13,0.7425632529569327,0,1.1102230246251565e-16,-0.1470417136338804,0.20585839908743286,0.0,0.3529001127213134,0,0.0,0,0.9051741396649426,0.05996186137974824,0.0016201260007381024,0.24703007890491943,1.4470300789049193,1.2
4,0.161,0.14,0.14,0.7527423942950773,0,0.0,-0.15835240853399712,0.22169337194759609,0.0,0.3800457804815933,0,0.0,0,0.9090371587931487,0.05688970582285038,0.0015527831073342741,0.2660320463371153,1.4660320463371153,1.2
5,0.17250000000000001,0.15000000000000002,0.15000000000000002,0.7632044465095701,0,0.0,-0.1696630770744587,0.23752830790424234,0.0,0.40719138497870117,0,0.0,0,0.9127535607124581,0.05394700613735996,0.0014878750286689173,0.2850339694850908,1.4850339694850907,1.2
6,0.184,0.16,0.16,0.7739613709058754,0,-5.551115123125783e-17,-0.18097371987326316,0.25336320782256844,0.0,0.4343369276958317,0,0.0,0,0.916327466056042,0.0511298232348458,0.0014253478618098793,0.30403584938708217,1.504035849387082,1.1999999999999997
7,0.1955,0.17,0.17,0.7850258127174263,0,5.551115123125783e-17,-0.19228433754840024,0.26919807256776057,0.0,0.461482410116161,0,0.0,0,0.9197629350842156,0.04843427855340596,0.0013651473072128389,0.3230376870813127,1.5230376870813125,1.1999999999999997
8,0.207,0.18,0.18,0.7964111506968722,0,-2.220446049250313e-16,-0.20359493071785306,0.285032903004994,0.0,0.4886278337228471,0,0.0,0,0.9230639666942294,0.045856555047874475,0.0013072187548627647,0.34203948360599296,1.542039483605993,1.2
9,0.21849999999999997,0.19,0.19,0.8081315510858211,0,1.1102230246251565e-16,-0.21490549999959563,0.300867699999434,0.0,0.5157731999990297,0,0.0,0,0.9262344975032584,0.04339289810683338,0.0012515073684550135,0.36104123999932086,1.5610412399993208,1.2
10,0.22999999999999998,0.2,0.2,0.8202020264208351,0,1.1102230246251565e-16,-0.22621604601159628,0.3167024644162349,0.0,0.5429185104278312,0,0.0,0,0.9292784010031172,0.04103961639789777,0.001197958167454078,0.3800429572994819,1.5800429572994816,1.1999999999999997
11,0.2415,0.21000000000000002,0.21000000000000002,0.8326384996889461,0,2.220446049250313e-16,-0.23752656937181493,0.3325371971205411,0.0,0.570063766492356,0,0.0,0,0.932199486785246,0.038793082642729224,0.0011465161068821119,0.39904463654464933,1.5990446365446491,1.1999999999999997
12,0.253,0.22,0.22,0.8454578744091857,0,-1.1102230246251565e-16,-0.24883707069820482,0.34837189897748677,0.0,0.5972089696756918,0,0.0,0,0.9350014998345264,0.036649734323220794,0.0010971261547037092,0.4180462787729842,1.6180462787729841,1.2
13,0.2645,0.23,0.23,0.8586781112887232,0,0.0,-0.2601475506087121,0.3642065708521968,0.0,0.6243541214609089,0,0.0,0,0.937688119890493,0.034606074320284376,0.0010497333666877023,0.4370478850226362,1.637047885022636,1.1999999999999997
14,0.276,0.24000000000000002,0.24000000000000002,0.872318312184631,0,-1.1102230246251565e-16,-0.27145800972127576,0.38004121360978577,0.0,0.6514992233310615,0,0.0,0,0.9402629608745259,0.03265867148665861,0.001004282958641039,0.456049456331743,1.656049456331743,1.2
15,0.2875,0.25,0.25,0.8863988121966836,0,-1.1102230246251565e-16,-0.2827684486538278,0.3958758281153588,0.0,0.6786442767691867,0,0.0,0,0.9427295703816165,0.030804161155143478,0.0009607203759238751,0.4750509937384307,1.6750509937384304,1.1999999999999997
16,0.299,0.26,0.26,0.9009412808249263,0,0.0,-0.29407886802429406,0.4117104152340118,0.0,0.705789283258306,0,0.0,0,0.9450914292353139,0.029039245583654213,0.0009189913601689093,0.4940524982808142,1.694052498280814,1.1999999999999997
17,0.3105,0.27,0.27,0.9159688332503355,0,-1.1102230246251565e-16,-0.3053892684505939,0.4275449758308314,0.0,0.7329342442814254,0,0.0,0,0.9473519511044683,0.027360694338475416,0.0008790420131414522,0.5130539709969978,1.7130539709969976,1.1999999999999997
18,0.322,0.28,0.28,0.9315061529405023,0,0.0,-0.3166996505506392,0.44337951077089494,0.0,0.7600791613215342,0,0.0,0,0.9495144821804128,0.025765344617083092,0.000840818857689878,0.5320554129250739,1.7320554129250738,1.2
19,0.3335,0.29000000000000004,0.29000000000000004,0.9475796269481782,0,0.0,-0.3280100149423364,0.459214020919271,0.0,0.7872240358616075,0,0.0,0,0.9515823009132163,0.024250101511888975,0.0008042688957487086,0.5510568251031253,1.751056825103125,1.1999999999999997
20,0.34500000000000003,0.30000000000000004,0.30000000000000004,0.9642174954626437,0,-1.1102230246251565e-16,-0.3393203622435854,0.47504850714101937,0.0,0.8143688693846048,0,0.0,0,0.953558617805675,0.022811938216249772,0.000769339663368714,0.5700582085692234,1.7700582085692234,1.2
21,0.3565,0.31,0.31,0.9814500173968882,0,0.0,-0.35063069307227956,0.49088297030119116,0.0,0.8415136633734707,0,0.0,0,0.9554465752637098,0.021447896174069666,0.0007359792827599281,0.5890595643614295,1.7890595643614293,1.1999999999999997
22,0.368,0.32,0.32,0.9993096540531382,0,3.3306690738754696e-16,-0.36194100804630636,0.5067174112648294,0.0,0.8686584193111359,0,0.0,0,0.9572492475018555,0.020155085174312304,0.0007041365113444119,0.6080608935177952,1.808060893517795,1.1999999999999997
